X,Y,OBJECTID,NAME,WEB_URL,RELIGION,ADDRESS,XCOORD,YCOORD,PLACE_OF_WORSHIP,Is_Place_Of_Worship,GIS_ID,ADDRID
-76.990489838607203,38.883226679365784,125,HOLY TEMPLE CHURCH OF CHRIST,HTCONLINE.ORG,CHRISTIAN,439 12TH ST SE,400825.34,135042.51,CHURCHES,1,,
-76.984279578801278,38.882101311457902,126,LIBERTY BAPTIST CHURCH,LIBERTYBAPTISTCHURCHDC.ORG,CHRISTIAN,527 KENTUCKY AVE SE,401364.19,134917.66,CHURCHES,1,,
-76.990915715505096,38.884957314227393,127,GREATER PEOPLE UNION BAPTIST,,CHRISTIAN,1111 S CAROLINA AVE SE,400788.37,135234.62,CHURCHES,1,,
-77.002859957297716,38.890120244876769,128,LUTHERAN CHURCH OF REFORMATION,REFORMATIONDC.ORG,CHRISTIAN,212 E CAPITOL ST NE,399752.08,135807.71,CHURCHES,1,,
-76.98104114394701,38.890117120175503,129,MT MORIAH BAPTIST CHURCH,MOUNTMORIAHCHURCH.ORG,CHRISTIAN,1636 E CAPITOL ST NE,401644.99,135807.53,CHURCHES,1,,
-76.987764380651825,38.890103244069252,130,HOUSE OF GOD,<Null>,CHRISTIAN,1310 E CAPITOL ST NE,401061.71,135805.89,CHURCHES,1,,
-76.991178433537797,38.879924167683569,131,NEW HOPE FREEWILL BAPTIST CHR,NEWHOPEFWBC.ORG,CHRISTIAN,754 11TH ST SE,400765.63,134675.9,CHURCHES,1,,
-77.046947834714459,38.896453729347925,132,HARDWOOD REVIVAL,,CHRISTIAN,510 21ST ST NW,395927.56,136511.82,CHURCHES,1,,
-77.035997914208423,38.900443277337459,133,ST JOHN'S EPISCOPAL CHURCH,STJOHNSGEORGETOWN.ORG,CHRISTIAN,1525 H ST NW,396877.62,136954.26,CHURCHES,1,,
-77.034926199444087,38.910235861777487,134,ST LUKES EPISCOPAL CHURCH,STLUKESDC.ORG,CHRISTIAN,1514 15TH ST NW,396971,138041.28,CHURCHES,1,,
-77.029151356104379,38.902895640066646,135,ST PAULS,,CHRISTIAN,1275 K ST NW,397471.6,137226.28,CHURCHES,1,,
-77.032602831319778,38.906478881319259,136,NATIONAL CITY CHRISTIAN CHURCH,NATIONALCITYCC.ORG,CHRISTIAN,5 THOMAS CIR NW # 2,397172.36,137624.15,CHURCHES,1,,
-77.027767120959723,38.90707116856629,137,MT ZION PENTECOSTAL CHURCH,,CHRISTIAN,1112 N ST NW,397591.81,137689.76,CHURCHES,1,,
-77.035464300617946,38.918589311140749,138,AUGUSTANA LUTHERAN CHURCH,AUGUSTANADC.ORG,CHRISTIAN,2100 NEW HAMPSHIRE AVE NW,396924.69,138968.6,CHURCHES,1,,
-77.037003488296648,38.925884009220766,139,DC SPANISH SEVENTH-DAY ADVENTIST,DCSPANISHDC.ADVENTISTCHURCH.ORG,CHRISTIAN,1610 COLUMBIA RD NW,396874.22,139902.78,CHURCHES,1,,
-77.030012650939369,38.928896538766345,140,SOUTHWEST CHURCH OF CHRIST,13THSTCOC.WORDPRESS.COM,CHRISTIAN,3100 13TH ST NW,397397.84,140112.62,CHURCHES,1,,
-77.037396624472905,38.932739426140429,141,SPANISH CATHOLIC CTR,CATHOLICCHARITIESDC.ORG,CHRISTIAN,1618 MONROE ST NW,396757.76,140539.45,CHURCHES,1,,
-77.036082727205581,38.934558345736981,142,TRINITY AME ZION CHURCH,TRINITYAMEZ.ORG,CHRISTIAN,3505 16TH ST NW,396871.76,140741.32,CHURCHES,1,,
-77.036039208018849,38.932888309496398,143,TRUTHABOUTIT.NET,KYLEWEIDIE.COM,CHRISTIAN,3355 16TH ST NW,396875.46,140555.93,CHURCHES,1,,
-77.049269965452837,38.91582334136509,144,OUR LADY QUEEN-THE AMERICAS,OURLADYQUEENOFTHEAMERICASDC.ORG,CHRISTIAN,2200 CALIFORNIA ST NW,395727.28,138662.11,CHURCHES,1,,
-77.034819359052065,38.917877756867917,145,HANDMAIDS-THE HOLY CHILD JESUS,,CHRISTIAN,2028 15TH ST NW,396980.59,138889.59,CHURCHES,1,,
