"","NAME","WEB_URL","ADDRESS"
"283","Praise Temple Church Of Christ","","4211 9TH STREET NW"
"284","Resurrection Church of God in Christ","","3516 18TH STREET NE"
"285","The Church of Jesus Christ of Latter Day Saints","","522 7TH STREET SE"
"286","St Paul Temple Church Of God","","3420 16TH STREET NE"
"287","St Paul AUMP","","401 I STREET SE"
"288","Cherubim and Seraphim Church Ayo","","774 GIRARD STREET NW"
"289","Cosmic Church","","113 2ND STREET NE"
"290","Ebenezer United Methodist","","420 D STREET SE"
"291","Community Holiness Church","","305 K STREET NE"
"292","First Hijra Foundation","FIRSTHIJRAHFOUNDATION.COM","4324 GEORGIA AVENUE NW"
"293","Faith Deliverance Center","","807 ROCK CREEK CHURCH ROAD NW"
"294","Joshua's Temple FBC","","4318 SHERIFF ROAD NE"
"295","Open Door Temple Church of God in Christ","","1918 BENNING ROAD NE"
"296","Franklin P Nash United Methodist","","2001 LINCOLN ROAD NE"
"297","New Testament Church","","400 BUTTERNUT STREET NW"
"298","Albright Memorial United Methodist","","411 RITTENHOUSE STREET NW"
"299","Temple Rock Of Ages Assembly of Yahweh","","1300 I STREET NE"
"300","Tyson Temple First Born","","3024 MASSACHUSETTS AVENUE SE"
"301","New Mount Zion Church Of God","","628 15TH STREET NE"
"302","Shepherd Park Church Of God","","7239 GEORGIA AVENUE NW"
"303","CHRIST CHURCH - GEORGETOWN","CHRISTCHURCHGEORGETOWN.ORG","3112 O STREET NORTHWEST"
"304","SAINT BLAISE CHURCH","","4835 MACARTHUR BOULEVARD NORTHWEST"
"305","CHRIST CHURCH ON EMBASSY ROW","www.REPRESENTJESUS.COM","3855 MASSACHUSETTS AVENUE NORTHWEST"
"306","SAINT FRANCES XAVIER CHURCH","STFRANCISXAVIERDC.ORG","2800 PENNSYLVANIA AVENUE SOUTHEAST"
"307","BIBLE WAY TEMPLE","BIBLEWAYWASHINGTON.ORG","1100 NEW JERSEY AVENUE NORTHWEST"
"308","CHURCH OF OUR SAVIOUR","","1616 IRVING STREET NORTHEAST"
"309","CHURCH OF THE ASCENSION AND SAINT AGNES","ASA-DC.ORG","1217 MASSACHUSETTS AVENUE NORTHWEST"
"310","THE CHURCH OF THE HOLY COMMUNION","","3640 MARTIN LUTHER KING JUNIOR AVENUE SOUTHEAST"
"311","SAINT BENEDICT THE MOOR","STBENMOORDC.ORG","320 21ST STREET NORTHEAST"
"312","CHURCH OF THE ASSUMPTION OF THE BLESSED VIRGIN MARY","ASSUMPTIONDC.ORG","3411 MARTIN LUTHER KING JUNIOR AVENUE SOUTHEAST"
"313","OUR LADY QUEEN OF PEACE CHURCH","OLQPDC.ORG","3800 ELY PLACE SOUTHEAST"
